La Luna,La Luna,Play Movies,G,Surround,No,7,None,Movie,2011,
The LEGO Movie,LEGO Movie,Play Movies,PG,Surround,No,100,Blu-ray,Movie,2014,
Letters from Iwo Jima,Letters from Iwo Jima,Plex,R,Surround,No,140,DVD,Movie,2006,
Licence to Kill,Licence to Kill,Plex,PG-13,Stereo,No,133,Blu-ray,Movie,1989,James Bond 16
Little Miss Sunshine,Little Miss Sunshine,Plex,R,Surround,No,103,DVD,Movie,2006,
Live and Let Die,Live and Let Die,Plex,PG,Mono,No,121,Blu-ray,Movie,1973,James Bond 8
The Living Daylights,Living Daylights,Plex,PG,Stereo,No,130,Blu-ray,Movie,1987,James Bond 15
Logan,Logan,Plex,R,Atmos,Yes,137,Blu-ray,Movie,2017,
Logan Noir,Logan Noir,Plex,R,Atmos,Yes,137,Blu-ray,Movie,2017,
The Lord of the Rings: The Fellowship of the Ring,Lord of the Rings 1,Play Movies,PG-13,Stereo,No,178,None,Movie,2001,
The Lord of the Rings: The Fellowship of the Ring (Extended Edition),Lord of the Rings: 1 (Extended Edition),Plex,PG-13,Surround,No,208,DVD,Movie,2002,
The Lord of the Rings: The Two Towers (Extended Edition),Lord of the Rings: 2 (Extended Edition),Plex,PG-13,Surround,No,223,DVD,Movie,2003,
The Lord of the Rings: The Return of the King (Extended Edition),Lord of the Rings: 3 (Extended Edition),Plex,PG-13,Surround,No,250,DVD,Movie,2004,
Lost Season 1 (24 Episodes),Lost Season 1 (24 Episodes),Plex,TV-14,Surround,No,1068,DVD,TV,2005,
Lost Season 2 (24 Episodes),Lost Season 2 (24 Episodes),Plex,TV-14,Surround,No,1056,DVD,TV,2006,
Lost Season 3 (23 Episodes) ,Lost Season 3 (23 Episodes) ,Plex,TV-14,Surround,No,991,DVD,TV,2007,
Lost Season 5 (16 Episodes),Lost Season 5 (16 Episodes),Plex,TV-14,Surround,No,731,DVD,TV,2009,
Love Actually,Love Actually,DVD,R,Surround,No,135,DVD,Movie,2004,
Mad Max: Fury Road,Mad Max: Fury Road,Play Movies,R,Atmos,No,120,Blu-ray,Movie,2015,
Magnum Force,Magnum Force,Plex,R,Surround,No,124,DVD,Movie,1973,
Man of Steel,Man of Steel,Play Movies,PG-13,Atmos,Yes,143,Blu-ray,Movie,2013,DCEU 1
Batman v Superman: Dawn of Justice,Batman v Superman,Plex,R,Atmos,No,182,Blu-ray,Movie,2016,DCEU 2
Justice League,Justice League,Plex,PG-13,Atmos,Yes,120,Blu-ray,Movie,2017,DCEU 5
Zack Snyder's Justice League,Justice League - Snyder Cut,Blu-ray,PG-13,Atmos,Yes,242,Blu-ray,Movie,2021,DECU 5.5
The Man with the Golden Gun,Man with the Golden Gun,Blu-ray,PG,Mono,No,125,Blu-ray,Movie,1974,James Bond 9
The Matrix,Matrix,Plex,R,Surround,No,138,DVD,Movie,1999,
The Matrix Reloaded,Matrix 2,Plex,R,Surround,No,138,DVD,Movie,2003,
The Matrix Revolutions,Matrix 3,Plex,R,Surround,No,129,DVD,Movie,2003,
Mean Girls,Mean Girls,Plex,PG-13,Surround,No,96,DVD,Movie,2004,
Mean Girls 2,Mean Girls 2,Plex,PG-13,Surround,No,96,DVD,Movie,2011,
Meet the Parents,Meet the Parents,Plex,PG-13,Surround,No,108,DVD,Movie,2000,
Meet the Fockers,Meet the Parents 2,Plex,PG-13,Surround,No,116,DVD,Movie,2004,
Megamind,Megamind,Plex,PG,Surround,No,96,Blu-ray,Movie,2011,
Men in Black,Men in Black,Plex,PG-13,Surround,No,98,DVD,Movie,1997,
Metallica: S&M,Metallica: S&M,Plex,N/A,Surround,No,145,DVD,Movie,2000,
Metallica: Some Kind of Monster,Metallica: Some Kind of Monster,Plex,N/A,Surround,No,140,DVD,Movie,2004,
Metallica: The Videos 1989-2004,Metallica: The Videos 1989-2004,Plex,N/A,Surround,No,141,DVD,TV,2006,
Midnight in the Garden of Good and Evil,Midnight in the Garden of Good and Evil,Plex,R,Surround,No,155,DVD,Movie,1997,
Million Dollar Baby,Million Dollar Baby,Plex,PG-13,Surround,No,132,DVD,Movie,2004,
Mobile Suit Gundam 0080: War in the Pocket,Mobile Suit Gundam 0080: War in the Pocket,Google Drive,N/A,Surround,No,162,None,TV,1989,
Mobile Suit Gundam SEED - Unexpected Meetings (Vol. 2) (5 Episodes),Mobile Suit Gundam SEED - Unexpected Meetings (Vol. 2) (5 Episodes),Plex,TV-14,Stereo,No,125,DVD,TV,2004,
Mobile Suit Gundam SEED Freedom,Mobile Suit Gundam SEED 3,Plex,N/A,Surround,No,124,None,Movie,2024,
Mobile Suit Gundam Thunderbolt: December Sky,Mobile Suit Gundam Thunderbolt,Plex,N/A,Stereo,No,69,None,Movie,2016,
Mobile Suit Gundam Wing: Endless Waltz (3 Episodes),Mobile Suit Gundam Wing: Endless Waltz (3 Episodes),Plex,TV-14,Stereo,No,90,Blu-ray,TV,1997,
Mobile Suit Gundam: Cucuruz Doan's Island,Mobile Suit Gundam: Cucuruz Doan's Island,Play Movies,TV-14,Surround,No,108,None,Movie,2022,
"Monsters, Inc.","Monsters, Inc.",Plex,G,Surround,No,92,Blu-ray,Movie,2001,
Monty Python and the Holy Grail,Monty Python and the Holy Grail,Plex,PG,Surround,No,89,DVD,Movie,1975,
Moonraker,Moonraker,Plex,PG,Stereo,No,126,Blu-ray,Movie,1979,James Bond 11
Morris-Thompson Family Chronicles: 1963-1978,Morris-Thompson Family Chronicles: 1963-1978,Plex,N/A,Mono,No,39,DVD,Movie,2007,
Moulin Rouge!,Moulin Rouge!,Plex,PG-13,Surround,No,128,Blu-ray,Movie,2001,
Mr. Woodcock,Mr. Woodcock,Plex,PG-13,Surround,No,88,DVD,Movie,2007,
Mobile Suit Gundam MS IGLOO 2: The Gravity Front (3 Episodes),MS IGLOO 2,Plex,N/A,Surround,No,87,None,TV,2008,
Mobile Suit Gundam MS IGLOO: The Hidden One Year War (3 Episodes),MS IGLOO Season 1,Plex,N/A,Surround,No,82,None,TV,2004,
Mobile Suit Gundam MS IGLOO: Apocalypse 0079 (3 Episodes),MS IGLOO Season 2,Plex,N/A,Surround,No,85,None,TV,2006,
Murder by Death,Murder by Death,Plex,PG,Mono,No,94,DVD,Movie,1976,
The Mystery Mavs,Mystery Mavs,Plex,N/A,Stereo,No,35,DVD,TV,2005,
Mystic River,Mystic River,Plex,R,Surround,No,138,DVD,Movie,2003,
Napoleon Dynamite,Napoleon Dynamite,Plex,PG,Surround,No,95,DVD,Movie,2004,
National Treasure,National Treasure,Plex,PG,Surround,No,131,DVD,Movie,2005,
Necessary Evil: Super-Villains of DC Comics,Necessary Evil: Super-Villains of DC Comics,Plex,N/A,Surround,No,99,DVD,Movie,2013,
Night at the Museum,Night at the Museum,Play Movies,PG,Surround,No,108,None,Movie,2006,
No Time to Die,No Time to Die,Blu-ray,PG-13,Atmos,Yes,163,Blu-ray,Movie,2021,James Bond 25
Octopussy,Octopussy,Plex,PG,Stereo,No,131,Blu-ray,Movie,1983,James Bond 13
The Office Season 1 (6 Episodes),Office Season 1 (6 Episodes),Plex,TV-14,Stereo,No,135,DVD,TV,2005,
The Office Season 2 (22 Episodes),Office Season 2 (22 Episodes),Plex,TV-14,Surround,No,477,DVD,TV,2006,
The Office Season 3 (22 Episodes),Office Season 3 (22 Episodes),Plex,TV-14,Surround,No,574,DVD,TV,2007,
The Office Season 4 (14 Episodes),Office Season 4 (14 Episodes),Plex,TV-14,Surround,No,405,DVD,TV,2008,
The Office Season 5 (26 Episodes),Office Season 5 (26 Episodes),Plex,TV-14,Surround,No,608,DVD,TV,2009,
On Her Majesty's Secret Service,On Her Majesty's Secret Service,Plex,PG,Mono,No,142,Blu-ray,Movie,1969,James Bond 6
The Other Guys,Other Guys,Play Movies,PG-13,Stereo,No,107,None,Movie,2010,
The Outlaw Josey Wales,Outlaw Josey Wales,Plex,PG,Surround,No,136,DVD,Movie,1976,
Pale Rider,Pale Rider,Plex,R,Surround,No,116,DVD,Movie,1985,
Patriots Day,Patriots Day,Play Movies,R,Surround,No,133,Blu-ray,Movie,2016,
Pineapple Express,Pineapple Express,Plex,R,Surround,No,117,DVD,Movie,2008,
Pink Cadillac,Pink Cadillac,Plex,PG-13,Surround,No,121,DVD,Movie,1989,
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean,Plex,PG-13,Surround,No,143,DVD,Movie,2003,
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean 2,Plex,PG-13,Surround,No,150,DVD,Movie,2006,
The Princess Bride,Princess Bride,Plex,PG,Surround,No,98,DVD,Movie,1987,
The Princess Diaries,Princess Diaries,Plex,G,Surround,No,115,DVD,Movie,2001,
Psych Season 4 (16 Episodes),Psych Season 4 (16 Episodes),Plex,TV-PG,Surround,No,702,DVD,TV,2009,
Quantum of Solace,Quantum of Solace,Plex,PG-13,Surround,No,106,Blu-ray,Movie,2008,James Bond 22
Rememory,Rememory,Play Movies,PG-13,Surround,No,111,None,Movie,2017,
Rick and Morty Season 1 (11 Episodes),Rick and Morty Season 1 (11 Episodes),Play Movies,TV-MA,Stereo,No,247,None,TV,2013,
Rick and Morty Season 2 (10 Episodes),Rick and Morty Season 2 (10 Episodes),Play Movies,TV-MA,Stereo,No,230,None,TV,2015,
Rick and Morty Season 3 (10 Episodes),Rick and Morty Season 3 (10 Episodes),Play Movies,TV-MA,Stereo,No,222,None,TV,2017,
Rick and Morty Season 4 (10 Episodes),Rick and Morty Season 4 (10 Episodes),Play Movies,TV-MA,Stereo,No,218,None,TV,2019,
